Date,Month,Weekday,Season,Holiday,Marketing_Spend,Revenue,Room_Revenue,Occupancy_Rate,ADR,RevPAR,No_Room_Sold,Total_Available_Room,Out_of_Order (OOO),Available_Rooms,Reserved_Rooms,Lead_Booking_Channel,Guest_Type,Market_Segment,Guest_Country,Complaints,Compliment,Bookings,No_Shows,Cancellations,Checkouts,New_Bookings,Checkins,Average_Review_Score,Fixed_Costs,Variable_Costs,Total_Costs,Profit
1/1/2024,1,1,Winter,1,50000,80000,45000,0.75,120,90,375,500,0,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,10000,5000,15000,
1/2/2024,1,2,Winter,0,60000,85000,48000,0.78,125,97.5,384,492,8,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,12000,6000,12000,
1/3/2024,1,3,Winter,0,70000,90000,49000,0.8,130,104,377,471,29,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,11000,7000,14000,
1/4/2024,1,4,Winter,1,50000,80000,45000,0.75,120,90,375,500,0,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,10000,5000,15000,
1/5/2024,1,5,Winter,0,60000,85000,48000,0.78,125,97.5,384,492,8,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,12000,6000,12000,
1/6/2024,1,6,Winter,1,70000,90000,49000,0.8,130,104,377,471,29,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,11000,7000,14000,
1/7/2024,1,7,Winter,0,50000,80000,45000,0.75,120,90,375,500,0,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,10000,5000,15000,
1/8/2024,1,1,Winter,0,60000,85000,48000,0.78,125,97.5,384,492,8,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,12000,6000,12000,
1/9/2024,1,2,Winter,0,70000,90000,49000,0.8,130,104,377,471,29,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,11000,7000,14000,
1/10/2024,1,3,Winter,0,50000,80000,45000,0.75,120,90,375,500,0,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,10000,5000,15000,
1/11/2024,1,4,Winter,1,60000,85000,48000,0.78,125,97.5,384,492,8,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,12000,6000,12000,
1/12/2024,1,5,Winter,0,70000,90000,49000,0.8,130,104,377,471,29,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,11000,7000,14000,
1/13/2024,1,6,Winter,0,50000,80000,45000,0.75,120,90,375,500,0,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,10000,5000,15000,
1/14/2024,1,7,Winter,0,60000,85000,48000,0.78,125,97.5,384,492,8,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,12000,6000,12000,
1/15/2024,1,1,Winter,0,70000,90000,49000,0.8,130,104,377,471,29,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,11000,7000,14000,
1/16/2024,1,2,Winter,0,50000,80000,45000,0.75,120,90,375,500,0,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,10000,5000,15000,
1/17/2024,1,3,Winter,0,60000,85000,48000,0.78,125,97.5,384,492,8,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,12000,6000,12000,
1/18/2024,1,4,Winter,1,70000,90000,49000,0.8,130,104,377,471,29,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,11000,7000,14000,
1/19/2024,1,5,Winter,0,50000,80000,45000,0.75,120,90,375,500,0,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,10000,5000,15000,
1/20/2024,1,6,Winter,0,60000,85000,48000,0.78,125,97.5,384,492,8,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,12000,6000,12000,
1/21/2024,1,7,Winter,0,70000,90000,49000,0.8,130,104,377,471,29,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,11000,7000,14000,
1/22/2024,1,1,Winter,0,50000,80000,45000,0.75,120,90,375,500,0,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,10000,5000,15000,
1/23/2024,1,2,Winter,0,60000,85000,48000,0.78,125,97.5,384,492,8,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,12000,6000,12000,
1/24/2024,1,3,Winter,0,70000,90000,49000,0.8,130,104,377,471,29,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,11000,7000,14000,
1/25/2024,1,4,Winter,1,50000,80000,45000,0.75,120,90,375,500,0,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,10000,5000,15000,
1/26/2024,1,5,Winter,0,60000,85000,48000,0.78,125,97.5,384,492,8,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,12000,6000,12000,
1/27/2024,1,6,Winter,0,70000,90000,49000,0.8,130,104,377,471,29,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,11000,7000,14000,
1/28/2024,1,7,Winter,0,50000,80000,45000,0.75,120,90,375,500,0,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,10000,5000,15000,
1/29/2024,1,1,Winter,0,60000,85000,48000,0.78,125,97.5,384,492,8,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,12000,6000,12000,
1/30/2024,1,2,Winter,0,70000,90000,49000,0.8,130,104,377,471,29,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,11000,7000,14000,
1/31/2024,1,3,Winter,0,50000,80000,45000,0.75,120,90,375,500,0,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,10000,5000,15000,
2/1/2024,2,4,Winter,0,55000,82000,47000,0.77,122,93.94,385,500,0,31,9,OTA,Business,0.23,France,1,1,9,1,1,8,2,2,4.6,11000,5000,13000,
2/2/2024,2,5,Winter,1,65000,88000,49000,0.79,128,101.12,383,485,15,32,10,Direct,Leisure,0.21,Italy,2,0,10,2,1,9,3,1,4.5,12000,6000,15000,
2/3/2024,2,6,Winter,0,70000,91000,50000,0.81,134,108.54,373,461,39,33,8,OTA,Business,0.19,Spain,1,2,8,1,0,7,2,2,4.7,11500,7000,15500,
2/4/2024,2,7,Winter,0,50000,80000,45000,0.75,120,90,375,500,0,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,10000,5000,15000,
2/5/2024,2,1,Winter,0,55000,82000,47000,0.77,122,93.94,385,500,0,31,9,OTA,Business,0.23,France,1,1,9,1,1,8,2,2,4.6,11000,5000,13000,
2/6/2024,2,2,Winter,0,65000,88000,49000,0.79,128,101.12,383,485,15,32,10,Direct,Leisure,0.21,Italy,2,0,10,2,1,9,3,1,4.5,12000,6000,15000,
2/7/2024,2,3,Winter,0,70000,91000,50000,0.81,134,108.54,373,461,39,33,8,OTA,Business,0.19,Spain,1,2,8,1,0,7,2,2,4.7,11500,7000,15500,
2/8/2024,2,4,Winter,0,50000,80000,45000,0.75,120,90,375,500,0,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,10000,5000,15000,
2/9/2024,2,5,Winter,1,55000,82000,47000,0.77,122,93.94,385,500,0,31,9,OTA,Business,0.23,France,1,1,9,1,1,8,2,2,4.6,11000,5000,13000,
2/10/2024,2,6,Winter,0,65000,88000,49000,0.79,128,101.12,383,485,15,32,10,Direct,Leisure,0.21,Italy,2,0,10,2,1,9,3,1,4.5,12000,6000,15000,
2/11/2024,2,7,Winter,0,70000,91000,50000,0.81,134,108.54,373,461,39,33,8,OTA,Business,0.19,Spain,1,2,8,1,0,7,2,2,4.7,11500,7000,15500,
2/12/2024,2,1,Winter,0,50000,80000,45000,0.75,120,90,375,500,0,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,10000,5000,15000,
